Gender,DepartmentName,Age,LengthService,AbsentHours,BusinessUnit,,,,,
1,2,32,6.02,36.58,1,,,,,
2,2,40,5.53,30.17,1,,,,Stores,1
2,2,49,4.39,83.81,1,,,,HeadOffice,2
1,2,45,3.08,70.02,1,,,,,
2,2,36,3.62,0.00,1,,,,,
2,2,48,2.72,81.83,1,,,,,
2,0,51,10.16,60.50,1,,,,,
2,2,36,4.43,30.07,1,,,,,
2,2,58,6.94,181.63,1,,,,,
2,0,40,13.85,30.66,1,,,,,
2,2,47,4.87,28.02,1,,,,,
2,2,15,3.79,0.00,1,,,,,
2,2,38,3.62,0.00,1,,,,,
1,2,31,4.58,34.33,1,,,,,
2,0,50,4.88,0.00,1,,,,,
2,0,43,19.11,21.66,1,,,,,
1,0,49,9.94,0.00,1,,,,,
1,2,42,2.56,55.10,1,,,,,
1,2,51,5.30,81.60,1,,,,,
1,0,37,11.23,94.67,1,,,,,
2,2,58,3.30,108.38,1,,,,,
1,2,24,3.15,0.00,1,,,,,
1,0,50,6.53,67.74,1,,,,,
1,2,61,4.47,158.70,1,,,,,
2,2,36,4.63,0.00,1,,,,,
1,2,36,3.10,48.02,1,,,,,
2,2,42,4.56,42.79,1,,,,,
2,2,35,5.17,34.52,1,,,,,
2,0,40,12.19,59.88,1,,,,,
2,2,50,4.31,100.67,1,,,,,
2,2,38,3.49,9.52,1,,,,,
1,0,43,19.01,38.88,1,,,,,
2,2,50,5.78,129.84,1,,,,,
2,2,77,3.20,44.27,1,,,,,
1,2,24,2.99,0.00,1,,,,,
2,0,36,18.20,0.00,2,,,,,
1,2,52,4.64,75.26,1,,,,,
1,2,40,6.19,58.97,1,,,,,
2,2,52,4.29,134.67,1,,,,,
2,2,20,4.48,0.00,1,,,,,
1,2,45,4.86,78.34,1,,,,,
2,2,67,2.18,169.00,1,,,,,
1,2,41,2.02,56.22,1,,,,,
2,2,62,5.47,152.65,1,,,,,
1,2,28,5.78,0.00,1,,,,,
1,2,50,5.36,80.24,1,,,,,
2,0,50,1.00,78.75,2,,,,,
2,2,34,5.65,0.00,1,,,,,
1,2,52,3.99,88.91,1,,,,,
2,0,39,20.68,21.39,2,,,,,
2,2,30,7.56,3.74,1,,,,,
2,2,44,0.39,38.07,1,,,,,
2,2,50,5.70,116.23,1,,,,,
1,2,35,4.72,0.00,1,,,,,
2,2,29,3.28,0.00,1,,,,,
1,2,50,3.65,77.13,1,,,,,
2,2,25,4.80,0.00,1,,,,,
2,2,43,4.12,24.79,1,,,,,
2,2,54,4.06,121.45,1,,,,,
2,2,44,4.20,59.78,1,,,,,
2,2,43,5.10,55.62,1,,,,,
1,1,56,10.62,0.00,2,,,,,
1,2,31,0.78,0.00,1,,,,,
2,2,43,5.84,55.06,1,,,,,
1,2,36,3.68,44.63,1,,,,,
2,2,39,5.75,42.46,1,,,,,
1,2,23,5.90,0.00,1,,,,,
1,1,40,11.89,0.00,2,,,,,
1,2,47,2.02,107.80,1,,,,,
2,1,44,12.31,78.84,2,,,,,
2,2,53,4.59,110.15,1,,,,,
1,2,36,3.95,33.93,1,,,,,
2,2,42,3.39,28.60,1,,,,,
1,2,41,3.29,44.99,1,,,,,
1,2,47,1.99,126.50,1,,,,,
1,2,45,5.57,19.62,1,,,,,
2,2,38,6.10,0.00,1,,,,,
2,1,35,8.35,44.97,2,,,,,
1,2,42,4.71,45.95,1,,,,,
1,2,44,1.78,83.32,1,,,,,
1,2,54,2.87,136.34,1,,,,,
2,2,46,4.42,53.31,1,,,,,
1,2,48,4.25,96.61,1,,,,,
1,2,52,2.96,140.91,1,,,,,
2,2,33,2.30,31.69,1,,,,,
2,2,48,4.15,12.68,1,,,,,
2,1,35,13.83,54.30,2,,,,,
1,1,37,18.64,0.00,2,,,,,
1,2,45,6.84,103.35,1,,,,,
1,2,27,3.98,0.00,1,,,,,
1,2,38,3.57,49.85,1,,,,,
1,1,40,1.22,58.29,2,,,,,
2,2,49,5.53,110.81,1,,,,,
1,2,52,5.33,158.68,1,,,,,
1,2,38,4.68,73.48,1,,,,,
2,2,29,4.85,2.19,1,,,,,
1,2,51,4.95,99.81,1,,,,,
1,2,39,1.91,34.78,1,,,,,
1,2,27,4.85,0.00,1,,,,,
1,2,47,7.41,81.74,1,,,,,
